"","gini","gdp","gdpGrow","gdp_growSince1993"
"1993",60.12,0.9829396475,982939647500,0
"1995",59.57,1.0811048066,1081104806600,1.01771120771745e+22
"1996",59.89,1.1049705792608,1104970579260.8,1.10025247849579e+32
"1997",59.8,1.14248464689261,1142484646892.61,1.21574661860665e+42
"1998",59.61,1.14635031426629,1146350314266.29,1.38897184639128e+52
"1999",58.99,1.15172746058205,1151727460582.05,1.59224831275657e+62
"2001",59.33,1.21897177919059,1218971779190.59,2.1989400380669e+82
"2002",58.62,1.25618894917306,1256188949173.06,2.68044585075573e+92
"2003",58.01,1.270513511012,1270513511012,3.36714645684418e+102
"2004",56.88,1.34370627898881,1343706278988.81,4.27800506731343e+112
"2005",56.64,1.38673244641335,1386732446413.35,5.7483822709228e+122
"2006",55.93,1.44165401309135,1441654013091.35,7.97146821005074e+132
"2007",55.23,1.52919533463634,1529195334636.34,1.14920991360469e+143
"2008",54.37,1.60708898206097,1607088982060.97,1.75736643851705e+153
"2009",53.87,1.60506168094025,1605061680940.25,2.82424424096021e+163
"2011",53.1,1.79339075753648,1793390757536.48,7.82366945724062e+183
"2012",52.67,1.82774241535793,1827742415357.93,1.40308964954181e+194
"2013",52.87,1.88285141742062,1882851417420.62,2.56448646515758e+204
